# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
129	0x1.8d1eb851eb852p+3	0x1.343a400000000p+24	0x1.8057b6aea0b14p+3
130	0x1.b333333333333p+3	0x1.08bd700000000p+24	0x1.9c5056d231574p+3
131	0x1.84ccccccccccdp+3	0x1.4b1da00000000p+23	0x1.796cf263845aep+3
132	0x1.b0a3d70a3d70ap+3	0x1.0254d00000000p+24	0x1.8828a65da3938p+3
133	0x1.d99999999999ap+3	0x1.753ae00000000p+23	0x1.bfeef0ba7ebe0p+3
134	0x1.aae147ae147aep+3	0x1.8a97a00000000p+23	0x1.82276f34abfecp+3
135	0x1.7b851eb851eb8p+3	0x1.5445600000000p+24	0x1.3e66626af3ce6p+3
136	0x1.6dc28f5c28f5cp+3	0x1.0eb0e00000000p+24	0x1.57fcf1e577138p+3
137	0x1.5c7ae147ae148p+3	0x1.15b5c00000000p+24	0x1.4623d64fc651ep+3
138	0x1.f7ae147ae147bp+3	0x1.376e900000000p+24	0x1.c5476dbaa5093p+3
139	0x1.aeb851eb851ecp+3	0x1.7c18b00000000p+24	0x1.6977187b4f3bbp+3
140	0x1.cb33333333333p+3	0x1.28c8900000000p+24	0x1.8f0ba5d1d8a9cp+3
141	0x1.16b851eb851ecp+4	0x1.90b2200000000p+23	0x1.10542f2a65ec4p+4
142	0x1.e428f5c28f5c3p+3	0x1.48aca00000000p+23	0x1.c75f7ac22aeb1p+3
143	0x1.eb33333333333p+3	0x1.a17b000000000p+24	0x1.7d82dfd273eddp+3
144	0x1.1a8f5c28f5c29p+4	0x1.82f6800000000p+24	0x1.b8e459b13b31cp+3
145	0x1.2147ae147ae14p+4	0x1.45ed800000000p+24	0x1.fb41002b89977p+3
146	0x1.d28f5c28f5c29p+3	0x1.70f5200000000p+23	0x1.ad5f4f7e75611p+3
147	0x1.c3d70a3d70a3dp+3	0x1.32b3a00000000p+23	0x1.b2cf8d8a61bd2p+3
